source,arm,channel,window,unit,recall,recall_lo,recall_hi,recall_p05,recall_p95,exc_circ,exc_circ_lo,exc_circ_hi,exc_circ_p05,exc_circ_p95,exc_cross,exc_cross_lo,exc_cross_hi,exc_cross_p05,exc_cross_p95,events_per_f0,events_per_f0_lo,events_per_f0_hi,events_per_f0_p05,events_per_f0_p95,event_rate,event_rate_lo,event_rate_hi,event_rate_p05,event_rate_p95,n,n_clusters,scope,prec_exc,prec_exc_lo,prec_exc_hi,coup_minus_rev,coup_minus_rev_lo,coup_minus_rev_hi
emote,clean,brow_outer,plan,c100 item (cell bootstrap),0.77897,0.65397,0.88892,,,0.1263,0.037577,0.2347,,,0.16104,-0.019205,0.35417,,,1.5071,0.95159,2.2794,,,1.5598,1.1298,2.002,,,12,12,c100,0.085697,-0.013776,0.20703,0.014811,-0.13048,0.15953
emote,clean,brow_outer,post,c100 item (cell bootstrap),0.55238,0.39325,0.71628,,,0.10119,-0.13755,0.3178,,,,,,,,1.5071,0.95159,2.2794,,,1.5598,1.1298,2.002,,,12,12,c100,0.17785,0.030708,0.35026,0.014811,-0.13048,0.15953
emote,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.71899,0.59955,0.82859,,,0.07156,-0.007425,0.163,,,0.10538,-0.049423,0.28114,,,1.4736,0.94926,2.1848,,,1.5336,1.1393,1.9495,,,168,12,all_nonrate_rungs,0.029362,-0.066908,0.14099,0.011521,-0.10191,0.11266
emote,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.48061,0.34376,0.61788,,,0.039131,-0.17216,0.21959,,,,,,,,1.4736,0.94926,2.1848,,,1.5336,1.1393,1.9495,,,168,12,all_nonrate_rungs,0.10658,-0.027217,0.25481,0.011521,-0.10191,0.11266
emote,noise,brow_inner,plan,c100 item (cell bootstrap),0.44246,0.26746,0.6278,,,-0.038258,-0.10187,0.026419,,,-0.07414,-0.33339,0.15699,,,1.0202,0.5341,1.6563,,,1.0995,0.69615,1.5212,,,12,12,c100,-0.050152,-0.14376,0.045315,,,
emote,noise,brow_inner,post,c100 item (cell bootstrap),0.29524,0.13492,0.48889,,,-0.018847,-0.11883,0.080201,,,,,,,,1.0202,0.5341,1.6563,,,1.0995,0.69615,1.5212,,,12,12,c100,-0.030159,-0.19494,0.14706,,,
emote,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.49011,0.31726,0.66409,,,-0.0057292,-0.073853,0.057615,,,-0.034687,-0.25832,0.17006,,,1.0495,0.57256,1.6775,,,1.1425,0.73707,1.546,,,168,12,all_nonrate_rungs,-0.020265,-0.10148,0.06151,,,
emote,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.34759,0.19873,0.51052,,,0.022351,-0.055477,0.098296,,,,,,,,1.0495,0.57256,1.6775,,,1.1425,0.73707,1.546,,,168,12,all_nonrate_rungs,0.0172,-0.13747,0.16497,,,
emote,noise,brow_outer,plan,c100 item (cell bootstrap),0.58651,0.38095,0.78095,,,0.052379,-0.055967,0.17785,,,0.018585,-0.23647,0.27322,,,1.1702,0.69123,1.8001,,,1.2141,0.79917,1.6311,,,12,12,c100,0.017889,-0.096346,0.16158,,,
emote,noise,brow_outer,post,c100 item (cell bootstrap),0.37183,0.19127,0.55529,,,0.024611,-0.1705,0.22445,,,,,,,,1.1702,0.69123,1.8001,,,1.2141,0.79917,1.6311,,,12,12,c100,0.068065,-0.1135,0.26713,,,
